CO_MUP;VA_NO_VOIE;geo_point_2d;COM_INSEE;LB_VOIE;Geo Shape;COMMUNE
A0Q5M7;34;48.6516587381, -1.97868177822;35288;RUE JEAN DELALANDE;"{""type"": ""Point"", ""coordinates"": [-1.978681778220339, 48.65165873813396]}";SAINT-MALO
A0Q5M9;1;48.6630045492, -1.97523850188;35288;RUELLE DE LA PLACE;"{""type"": ""Point"", ""coordinates"": [-1.975238501881478, 48.663004549155055]}";SAINT-MALO
A4K7B6;0;48.6364107354, -2.02094939992;35288;PLACE MONSEIGNEUR DUCHESNE;"{""type"": ""Point"", ""coordinates"": [-2.020949399917107, 48.636410735372266]}";SAINT-MALO
A4K7B9;4;48.6139433153, -1.95831266915;35288;RUE ALFRED SISLEY;"{""type"": ""Point"", ""coordinates"": [-1.958312669150622, 48.61394331527786]}";SAINT-MALO
A2H9I6;6;48.6321184876, -1.98857202971;35288;RUE GUILLAUME ONFROY;"{""type"": ""Point"", ""coordinates"": [-1.988572029712158, 48.63211848764113]}";SAINT-MALO
A0Q5G9;19;48.6605959484, -1.99319406802;35288;BOULEVARD HEBERT;"{""type"": ""Point"", ""coordinates"": [-1.993194068024295, 48.66059594841779]}";SAINT-MALO
A0Q5H8;44;48.6539868817, -1.99965845882;35288;AVENUE DU 47E REGIMENT D INFANTERIE;"{""type"": ""Point"", ""coordinates"": [-1.99965845882312, 48.653986881742505]}";SAINT-MALO
A0Q5K1;1;48.6521762669, -2.00978409913;35288;BOULEVARD DE LA REPUBLIQUE;"{""type"": ""Point"", ""coordinates"": [-2.009784099130352, 48.652176266920534]}";SAINT-MALO
A0Q2S9;35;48.5481682694, -1.94981582943;35358;RUE JACQUES CARTIER;"{""type"": ""Point"", ""coordinates"": [-1.949815829428586, 48.54816826936485]}";LA VILLE-ÈS-NONAIS
A0Q6B1;0;48.5514155363, -1.933631021;35358;RUE DU MOULIN DE LAVAL;"{""type"": ""Point"", ""coordinates"": [-1.933631020998833, 48.55141553625115]}";LA VILLE-ÈS-NONAIS
A0Q4A0;0;48.5009736182, -1.85604045524;35362;MIRELOUP;"{""type"": ""Point"", ""coordinates"": [-1.856040455237595, 48.500973618193186]}";LE TRONCHET
